[CV] k=5 fold=3
[CV] TRAIN subjects (40): ['SC4012E0', 'SC4021E0', 'SC4031E0', 'SC4032E0', 'SC4041E0'] ...
[CV] VAL   subjects (1):   ['SC4001E0']
[CV] TEST  subjects (10):  ['SC4002E0', 'SC4011E0', 'SC4022E0', 'SC4102E0', 'SC4112E0'] ...
=== DEVICE: cuda ===
=== START TRAIN (CV fold) ===
[F3] [E01] batch 0000 | loss=1.6664 | acc=0.203
[F3] [E01] batch 0010 | loss=1.5255 | acc=0.324
[F3] [E01] batch 0020 | loss=1.4200 | acc=0.438
[F3] [E01] batch 0030 | loss=1.3114 | acc=0.543
[F3] [E01] batch 0040 | loss=1.2809 | acc=0.543
[F3] [E01] batch 0050 | loss=1.2245 | acc=0.574
[F3] [E01] batch 0060 | loss=1.1969 | acc=0.586
[F3] [E01] batch 0070 | loss=1.1303 | acc=0.598
[F3] [E01] batch 0080 | loss=1.1039 | acc=0.617
[F3] [E01] batch 0090 | loss=1.1050 | acc=0.566
[F3] [E01] batch 0100 | loss=1.0835 | acc=0.621
[F3] [E01] batch 0110 | loss=1.0499 | acc=0.621
[F3] [E01] batch 0120 | loss=1.0310 | acc=0.602
[F3] [E01] batch 0130 | loss=0.9969 | acc=0.602
[F3] [E01] batch 0140 | loss=0.9250 | acc=0.688
[F3] [E01] batch 0150 | loss=0.9451 | acc=0.664
[F3] [E01] batch 0160 | loss=0.9456 | acc=0.672
[F3] [E01] batch 0170 | loss=0.9090 | acc=0.703
[F3] [E01] batch 0180 | loss=0.9469 | acc=0.660
[F3] [E01] batch 0190 | loss=0.8556 | acc=0.730
[F3] [E01] batch 0200 | loss=0.9044 | acc=0.699
[F3] [E01] batch 0210 | loss=0.8708 | acc=0.715
[F3] [E01] batch 0220 | loss=0.8608 | acc=0.715
[F3] [E01] batch 0230 | loss=0.8784 | acc=0.691
[F3] [E01] batch 0240 | loss=0.8241 | acc=0.727
[F3] [E01] batch 0250 | loss=0.8556 | acc=0.699
[F3] [E01] batch 0260 | loss=0.8901 | acc=0.691
[F3] [E01] batch 0270 | loss=0.8850 | acc=0.715
[F3] [E01] batch 0280 | loss=0.8674 | acc=0.680
[F3] [E01] batch 0290 | loss=0.8539 | acc=0.715
[F3] [E01] batch 0300 | loss=0.8816 | acc=0.711
[F3] [E01] batch 0310 | loss=0.8226 | acc=0.711
[F3] [E01] batch 0320 | loss=0.8516 | acc=0.734
[F3] [E01] batch 0330 | loss=0.8285 | acc=0.738
[F3] [E01] batch 0340 | loss=0.7916 | acc=0.742
[F3] [E01] batch 0350 | loss=0.7880 | acc=0.734
[F3] [E01] batch 0360 | loss=0.7511 | acc=0.801
[F3] [E01] batch 0370 | loss=0.8879 | acc=0.688
[F3] [E01] batch 0380 | loss=0.8095 | acc=0.734
[F3] [E01] batch 0390 | loss=0.7759 | acc=0.758
[F3] [E01] batch 0400 | loss=0.8506 | acc=0.719
[F3] [E01] batch 0410 | loss=0.8248 | acc=0.723
[F3] [E01] batch 0420 | loss=0.7418 | acc=0.758
[F3] [E01] total_loss=411.985 | VAL acc=0.932 | F1=0.747 | kappa=0.842
[SAVE] best fold=3 (by VAL F1)
[F3] [E02] batch 0000 | loss=0.8758 | acc=0.730
[F3] [E02] batch 0010 | loss=0.7863 | acc=0.723
[F3] [E02] batch 0020 | loss=0.7525 | acc=0.762
[F3] [E02] batch 0030 | loss=0.7367 | acc=0.773
[F3] [E02] batch 0040 | loss=0.7965 | acc=0.742
