[CV] k=10 fold=1
[CV] TRAIN subjects (45): ['SC4002E0', 'SC4011E0', 'SC4021E0', 'SC4022E0', 'SC4031E0'] ...
[CV] VAL   subjects (1):   ['SC4001E0']
[CV] TEST  subjects (5):  ['SC4012E0', 'SC4062E0', 'SC4082E0', 'SC4152E0', 'SC4162E0'] ...
=== DEVICE: cuda ===
=== START TRAIN (CV fold) ===
[F1] [E01] batch 0000 | loss=1.6925 | acc=0.180
[F1] [E01] batch 0010 | loss=1.5266 | acc=0.238
[F1] [E01] batch 0020 | loss=1.4213 | acc=0.516
[F1] [E01] batch 0030 | loss=1.3635 | acc=0.477
[F1] [E01] batch 0040 | loss=1.3097 | acc=0.512
[F1] [E01] batch 0050 | loss=1.2115 | acc=0.617
[F1] [E01] batch 0060 | loss=1.2127 | acc=0.547
[F1] [E01] batch 0070 | loss=1.1724 | acc=0.582
[F1] [E01] batch 0080 | loss=1.1010 | acc=0.605
[F1] [E01] batch 0090 | loss=1.0576 | acc=0.645
[F1] [E01] batch 0100 | loss=0.9980 | acc=0.688
[F1] [E01] batch 0110 | loss=1.0386 | acc=0.648
[F1] [E01] batch 0120 | loss=0.9374 | acc=0.680
[F1] [E01] batch 0130 | loss=0.9923 | acc=0.656
[F1] [E01] batch 0140 | loss=0.9604 | acc=0.668
[F1] [E01] batch 0150 | loss=0.9473 | acc=0.672
[F1] [E01] batch 0160 | loss=0.9372 | acc=0.668
[F1] [E01] batch 0170 | loss=0.9591 | acc=0.633
[F1] [E01] batch 0180 | loss=0.9054 | acc=0.676
[F1] [E01] batch 0190 | loss=0.9023 | acc=0.680
[F1] [E01] batch 0200 | loss=0.8794 | acc=0.727
[F1] [E01] batch 0210 | loss=0.9016 | acc=0.703
[F1] [E01] batch 0220 | loss=0.8644 | acc=0.715
[F1] [E01] batch 0230 | loss=0.8674 | acc=0.711
[F1] [E01] batch 0240 | loss=0.8448 | acc=0.738
[F1] [E01] batch 0250 | loss=0.7780 | acc=0.750
[F1] [E01] batch 0260 | loss=0.8620 | acc=0.723
[F1] [E01] batch 0270 | loss=0.8413 | acc=0.703
[F1] [E01] batch 0280 | loss=0.8641 | acc=0.691
[F1] [E01] batch 0290 | loss=0.8912 | acc=0.695
[F1] [E01] batch 0300 | loss=0.9112 | acc=0.668
[F1] [E01] batch 0310 | loss=0.8152 | acc=0.773
[F1] [E01] batch 0320 | loss=0.8083 | acc=0.734
[F1] [E01] batch 0330 | loss=0.8100 | acc=0.727
[F1] [E01] batch 0340 | loss=0.8379 | acc=0.754
[F1] [E01] batch 0350 | loss=0.7639 | acc=0.781
[F1] [E01] batch 0360 | loss=0.7654 | acc=0.758
[F1] [E01] batch 0370 | loss=0.8753 | acc=0.727
[F1] [E01] batch 0380 | loss=0.8237 | acc=0.746
[F1] [E01] batch 0390 | loss=0.8038 | acc=0.746
[F1] [E01] batch 0400 | loss=0.8109 | acc=0.762
[F1] [E01] batch 0410 | loss=0.7710 | acc=0.766
[F1] [E01] batch 0420 | loss=0.7700 | acc=0.750
[F1] [E01] batch 0430 | loss=0.8208 | acc=0.703
[F1] [E01] batch 0440 | loss=0.8385 | acc=0.719
[F1] [E01] batch 0450 | loss=0.7825 | acc=0.750
[F1] [E01] batch 0460 | loss=0.8199 | acc=0.742
[F1] [E01] batch 0470 | loss=0.7617 | acc=0.770
[F1] [E01] total_loss=455.253 | VAL acc=0.936 | F1=0.778 | kappa=0.852
[SAVE] best fold=1 (by VAL F1)
[F1] [E02] batch 0000 | loss=0.8018 | acc=0.734
[F1] [E02] batch 0010 | loss=0.7983 | acc=0.738
[F1] [E02] batch 0020 | loss=0.7191 | acc=0.824
[F1] [E02] batch 0030 | loss=0.7817 | acc=0.742
[F1] [E02] batch 0040 | loss=0.7893 | acc=0.730
[F1] [E02] batch 0050 | loss=0.7571 | acc=0.766
[F1] [E02] batch 0060 | loss=0.7959 | acc=0.781
[F1] [E02] batch 0070 | loss=0.7148 | acc=0.766
[F1] [E02] batch 0080 | loss=0.7651 | acc=0.742
[F1] [E02] batch 0090 | loss=0.7566 | acc=0.758
[F1] [E02] batch 0100 | loss=0.8034 | acc=0.738
[F1] [E02] batch 0110 | loss=0.7545 | acc=0.789
[F1] [E02] batch 0120 | loss=0.8704 | acc=0.676
[F1] [E02] batch 0130 | loss=0.7233 | acc=0.797
[F1] [E02] batch 0140 | loss=0.7827 | acc=0.730
[F1] [E02] batch 0150 | loss=0.7835 | acc=0.754
[F1] [E02] batch 0160 | loss=0.7462 | acc=0.762
[F1] [E02] batch 0170 | loss=0.7478 | acc=0.785
[F1] [E02] batch 0180 | loss=0.7814 | acc=0.703
[F1] [E02] batch 0190 | loss=0.7762 | acc=0.746
[F1] [E02] batch 0200 | loss=0.7880 | acc=0.754
[F1] [E02] batch 0210 | loss=0.7122 | acc=0.809
[F1] [E02] batch 0220 | loss=0.8285 | acc=0.711
[F1] [E02] batch 0230 | loss=0.7906 | acc=0.754
[F1] [E02] batch 0240 | loss=0.7605 | acc=0.766
[F1] [E02] batch 0250 | loss=0.7615 | acc=0.770
[F1] [E02] batch 0260 | loss=0.7695 | acc=0.762
[F1] [E02] batch 0270 | loss=0.8054 | acc=0.723
[F1] [E02] batch 0280 | loss=0.7506 | acc=0.746
[F1] [E02] batch 0290 | loss=0.7588 | acc=0.762
[F1] [E02] batch 0300 | loss=0.7694 | acc=0.789
[F1] [E02] batch 0310 | loss=0.7573 | acc=0.754
[F1] [E02] batch 0320 | loss=0.7465 | acc=0.789
[F1] [E02] batch 0330 | loss=0.8045 | acc=0.742
[F1] [E02] batch 0340 | loss=0.7596 | acc=0.730
[F1] [E02] batch 0350 | loss=0.8250 | acc=0.738
[F1] [E02] batch 0360 | loss=0.7010 | acc=0.770
[F1] [E02] batch 0370 | loss=0.7267 | acc=0.785
[F1] [E02] batch 0380 | loss=0.7783 | acc=0.715
[F1] [E02] batch 0390 | loss=0.8428 | acc=0.719
[F1] [E02] batch 0400 | loss=0.6990 | acc=0.805
[F1] [E02] batch 0410 | loss=0.7633 | acc=0.766
[F1] [E02] batch 0420 | loss=0.7017 | acc=0.809
[F1] [E02] batch 0430 | loss=0.7286 | acc=0.773
[F1] [E02] batch 0440 | loss=0.6808 | acc=0.801
[F1] [E02] batch 0450 | loss=0.7145 | acc=0.785
[F1] [E02] batch 0460 | loss=0.6924 | acc=0.793
[F1] [E02] batch 0470 | loss=0.6857 | acc=0.824
[F1] [E02] total_loss=363.525 | VAL acc=0.930 | F1=0.765 | kappa=0.835
[F1] [E03] batch 0000 | loss=0.7064 | acc=0.770
[F1] [E03] batch 0010 | loss=0.7709 | acc=0.746
[F1] [E03] batch 0020 | loss=0.7601 | acc=0.738
[F1] [E03] batch 0030 | loss=0.7798 | acc=0.707
[F1] [E03] batch 0040 | loss=0.7105 | acc=0.758
[F1] [E03] batch 0050 | loss=0.7017 | acc=0.793
[F1] [E03] batch 0060 | loss=0.7708 | acc=0.738
[F1] [E03] batch 0070 | loss=0.8621 | acc=0.719
[F1] [E03] batch 0080 | loss=0.6982 | acc=0.785
[F1] [E03] batch 0090 | loss=0.7374 | acc=0.773
[F1] [E03] batch 0100 | loss=0.7122 | acc=0.758
[F1] [E03] batch 0110 | loss=0.7091 | acc=0.793
[F1] [E03] batch 0120 | loss=0.6959 | acc=0.805
[F1] [E03] batch 0130 | loss=0.7726 | acc=0.754
[F1] [E03] batch 0140 | loss=0.8245 | acc=0.719
[F1] [E03] batch 0150 | loss=0.7842 | acc=0.723
[F1] [E03] batch 0160 | loss=0.6405 | acc=0.812
[F1] [E03] batch 0170 | loss=0.6696 | acc=0.812
[F1] [E03] batch 0180 | loss=0.7181 | acc=0.750
[F1] [E03] batch 0190 | loss=0.7461 | acc=0.758
[F1] [E03] batch 0200 | loss=0.7073 | acc=0.785
[F1] [E03] batch 0210 | loss=0.6833 | acc=0.793
[F1] [E03] batch 0220 | loss=0.7112 | acc=0.770
[F1] [E03] batch 0230 | loss=0.6874 | acc=0.773
[F1] [E03] batch 0240 | loss=0.7547 | acc=0.723
[F1] [E03] batch 0250 | loss=0.7029 | acc=0.801
[F1] [E03] batch 0260 | loss=0.7493 | acc=0.773
[F1] [E03] batch 0270 | loss=0.6634 | acc=0.812
[F1] [E03] batch 0280 | loss=0.7551 | acc=0.730
[F1] [E03] batch 0290 | loss=0.7251 | acc=0.789
[F1] [E03] batch 0300 | loss=0.7585 | acc=0.762
[F1] [E03] batch 0310 | loss=0.7537 | acc=0.758
[F1] [E03] batch 0320 | loss=0.7660 | acc=0.750
[F1] [E03] batch 0330 | loss=0.6703 | acc=0.812
[F1] [E03] batch 0340 | loss=0.7578 | acc=0.766
[F1] [E03] batch 0350 | loss=0.7391 | acc=0.785
[F1] [E03] batch 0360 | loss=0.7052 | acc=0.789
[F1] [E03] batch 0370 | loss=0.6977 | acc=0.789
[F1] [E03] batch 0380 | loss=0.7260 | acc=0.797
[F1] [E03] batch 0390 | loss=0.7455 | acc=0.719
[F1] [E03] batch 0400 | loss=0.7209 | acc=0.777
[F1] [E03] batch 0410 | loss=0.7395 | acc=0.770
[F1] [E03] batch 0420 | loss=0.6558 | acc=0.809
[F1] [E03] batch 0430 | loss=0.7743 | acc=0.742
[F1] [E03] batch 0440 | loss=0.7615 | acc=0.750
[F1] [E03] batch 0450 | loss=0.7489 | acc=0.750
[F1] [E03] batch 0460 | loss=0.7440 | acc=0.773
[F1] [E03] batch 0470 | loss=0.7479 | acc=0.773
[F1] [E03] total_loss=351.041 | VAL acc=0.932 | F1=0.769 | kappa=0.843
[F1] [E04] batch 0000 | loss=0.6745 | acc=0.805
[F1] [E04] batch 0010 | loss=0.7398 | acc=0.789
[F1] [E04] batch 0020 | loss=0.8239 | acc=0.746
[F1] [E04] batch 0030 | loss=0.7483 | acc=0.766
[F1] [E04] batch 0040 | loss=0.7436 | acc=0.762
[F1] [E04] batch 0050 | loss=0.7627 | acc=0.738
[F1] [E04] batch 0060 | loss=0.7470 | acc=0.754
[F1] [E04] batch 0070 | loss=0.7343 | acc=0.734
[F1] [E04] batch 0080 | loss=0.6536 | acc=0.793
[F1] [E04] batch 0090 | loss=0.7297 | acc=0.770
[F1] [E04] batch 0100 | loss=0.7484 | acc=0.773
[F1] [E04] batch 0110 | loss=0.7142 | acc=0.785
[F1] [E04] batch 0120 | loss=0.7606 | acc=0.754
[F1] [E04] batch 0130 | loss=0.6416 | acc=0.816
[F1] [E04] batch 0140 | loss=0.7769 | acc=0.742
[F1] [E04] batch 0150 | loss=0.6715 | acc=0.824
[F1] [E04] batch 0160 | loss=0.7123 | acc=0.777
[F1] [E04] batch 0170 | loss=0.7025 | acc=0.797
[F1] [E04] batch 0180 | loss=0.7574 | acc=0.766
[F1] [E04] batch 0190 | loss=0.7332 | acc=0.770
[F1] [E04] batch 0200 | loss=0.6711 | acc=0.809
[F1] [E04] batch 0210 | loss=0.6929 | acc=0.770
[F1] [E04] batch 0220 | loss=0.7492 | acc=0.758
[F1] [E04] batch 0230 | loss=0.7009 | acc=0.773
[F1] [E04] batch 0240 | loss=0.7155 | acc=0.781
[F1] [E04] batch 0250 | loss=0.7121 | acc=0.797
[F1] [E04] batch 0260 | loss=0.7025 | acc=0.773
[F1] [E04] batch 0270 | loss=0.7512 | acc=0.723
[F1] [E04] batch 0280 | loss=0.7115 | acc=0.789
[F1] [E04] batch 0290 | loss=0.7845 | acc=0.730
[F1] [E04] batch 0300 | loss=0.7617 | acc=0.730
[F1] [E04] batch 0310 | loss=0.7358 | acc=0.773
[F1] [E04] batch 0320 | loss=0.7335 | acc=0.793
[F1] [E04] batch 0330 | loss=0.6895 | acc=0.777
[F1] [E04] batch 0340 | loss=0.7707 | acc=0.742
[F1] [E04] batch 0350 | loss=0.6736 | acc=0.809
[F1] [E04] batch 0360 | loss=0.7398 | acc=0.770
[F1] [E04] batch 0370 | loss=0.7190 | acc=0.789
[F1] [E04] batch 0380 | loss=0.7980 | acc=0.730
[F1] [E04] batch 0390 | loss=0.7126 | acc=0.797
[F1] [E04] batch 0400 | loss=0.6851 | acc=0.781
[F1] [E04] batch 0410 | loss=0.7414 | acc=0.750
[F1] [E04] batch 0420 | loss=0.7271 | acc=0.758
[F1] [E04] batch 0430 | loss=0.6948 | acc=0.793
[F1] [E04] batch 0440 | loss=0.7228 | acc=0.793
[F1] [E04] batch 0450 | loss=0.7409 | acc=0.777
[F1] [E04] batch 0460 | loss=0.7159 | acc=0.770
[F1] [E04] batch 0470 | loss=0.7164 | acc=0.777
[F1] [E04] total_loss=343.382 | VAL acc=0.940 | F1=0.790 | kappa=0.862
[SAVE] best fold=1 (by VAL F1)
[F1] [E05] batch 0000 | loss=0.6719 | acc=0.809
[F1] [E05] batch 0010 | loss=0.7386 | acc=0.750
[F1] [E05] batch 0020 | loss=0.6730 | acc=0.801
[F1] [E05] batch 0030 | loss=0.7584 | acc=0.727
[F1] [E05] batch 0040 | loss=0.7465 | acc=0.770
[F1] [E05] batch 0050 | loss=0.7425 | acc=0.754
[F1] [E05] batch 0060 | loss=0.7305 | acc=0.797
[F1] [E05] batch 0070 | loss=0.6628 | acc=0.840
[F1] [E05] batch 0080 | loss=0.7323 | acc=0.762
[F1] [E05] batch 0090 | loss=0.7067 | acc=0.809
[F1] [E05] batch 0100 | loss=0.7506 | acc=0.773
[F1] [E05] batch 0110 | loss=0.6331 | acc=0.855
[F1] [E05] batch 0120 | loss=0.7297 | acc=0.762
[F1] [E05] batch 0130 | loss=0.7514 | acc=0.758
[F1] [E05] batch 0140 | loss=0.7087 | acc=0.785
[F1] [E05] batch 0150 | loss=0.6800 | acc=0.809
[F1] [E05] batch 0160 | loss=0.6740 | acc=0.812
[F1] [E05] batch 0170 | loss=0.7021 | acc=0.816
[F1] [E05] batch 0180 | loss=0.7074 | acc=0.793
[F1] [E05] batch 0190 | loss=0.7212 | acc=0.773
[F1] [E05] batch 0200 | loss=0.6865 | acc=0.801
[F1] [E05] batch 0210 | loss=0.7438 | acc=0.762
[F1] [E05] batch 0220 | loss=0.7313 | acc=0.770
[F1] [E05] batch 0230 | loss=0.7278 | acc=0.762
[F1] [E05] batch 0240 | loss=0.6713 | acc=0.789
[F1] [E05] batch 0250 | loss=0.6625 | acc=0.820
